Sun,star,,0,0,696340
Mercury,planet,Sun,57910,87.97,2439.7
Venus,planet,Sun,108200,224.7,6051.8
Earth,planet,Sun,149600,365.26,6371
Mars,planet,Sun,227940,686.98,3389.5
Jupiter,planet,Sun,778330,4332.71,69911
Saturn,planet,Sun,1429400,10759.5,58232
Uranus,planet,Sun,2870990,30685,25362
Neptune,planet,Sun,4504300,60190,24622
Pluto,dwarfplanet,Sun,5913520,90550,1188.3
Moon,moon,Earth,384,27.32,1737.4
Phobos,moon,Mars,9,0.32,11.267
Deimos,moon,Mars,23,1.26,6.2
Metis,moon,Jupiter,128,0.29,21.5
Adrastea,moon,Jupiter,129,0.3,8.2
Amalthea,moon,Jupiter,181,0.5,83.5
Thebe,moon,Jupiter,222,0.67,49.3
Io,moon,Jupiter,422,1.77,1821.6
Europa,moon,Jupiter,671,3.55,1560.8
Ganymede,moon,Jupiter,1070,7.15,2634.1
Callisto,moon,Jupiter,1883,16.69,2410.3
Leda,moon,Jupiter,11094,238.72,10
Himalia,moon,Jupiter,11480,250.57,85
Lysithea,moon,Jupiter,11720,259.22,18
Elara,moon,Jupiter,11737,259.65,43
Ananke,moon,Jupiter,21200,-631,14
Carme,moon,Jupiter,22600,-692,23
Pasiphae,moon,Jupiter,23500,-735,30
Sinope,moon,Jupiter,23700,-758,19
Pan,moon,Saturn,134,0.58,14.1
Atlas,moon,Saturn,138,0.6,15.1
Prometheus,moon,Saturn,139,0.61,43.1
Pandora,moon,Saturn,142,0.63,40.7
Epimetheus,moon,Saturn,151,0.69,58.1
Janus,moon,Saturn,151,0.69,89.5
Mimas,moon,Saturn,186,0.94,198.2
Enceladus,moon,Saturn,238,1.37,252.1
Tethys,moon,Saturn,295,1.89,531
Telesto,moon,Saturn,295,1.89,12.4
Calypso,moon,Saturn,295,1.89,10.7
Dione,moon,Saturn,377,2.74,561.4
Helene,moon,Saturn,377,2.74,18
Rhea,moon,Saturn,527,4.52,763.8
Titan,moon,Saturn,1222,15.95,2574.7
Hyperion,moon,Saturn,1481,21.28,135
Iapetus,moon,Saturn,3561,79.33,735.5
Phoebe,moon,Saturn,12952,-550.48,106.5
Cordelia,moon,Uranus,50,0.34,106.5
Ophelia,moon,Uranus,54,0.38,21.4
Bianca,moon,Uranus,59,0.43,27
Cressida,moon,Uranus,62,0.46,39.8
Desdemona,moon,Uranus,63,0.47,32
Juliet,moon,Uranus,64,0.49,46.8
Portia,moon,Uranus,66,0.51,67.6
Rosalind,moon,Uranus,70,0.56,36
Belinda,moon,Uranus,75,0.62,40.3
Puck,moon,Uranus,86,0.76,81
Miranda,moon,Uranus,130,1.41,235.8
Ariel,moon,Uranus,191,2.52,578.9
Umbriel,moon,Uranus,266,4.14,584.7
Titania,moon,Uranus,436,8.71,788.4
Oberon,moon,Uranus,583,13.46,761.4
Caliban,moon,Uranus,7169,-580,36
Stephano,moon,Uranus,7948,-674,16
Sycorax,moon,Uranus,12213,-1289,75
Prospero,moon,Uranus,16568,-2019,25
Setebos,moon,Uranus,17681,-2239,24
Naiad,moon,Neptune,48,0.29,33
Thalassa,moon,Neptune,50,0.31,41
Despina,moon,Neptune,53,0.33,75
Galatea,moon,Neptune,62,0.43,87.4
Larissa,moon,Neptune,74,0.55,97
Proteus,moon,Neptune,118,1.12,210
Triton,moon,Neptune,355,-5.88,1353.4
Nereid,moon,Neptune,5513,360.13,170
Charon,moon,Pluto,20,6.39,606
Hydra,moon,Pluto,65,38.21,40
